id:int,Name:str,Country:str
1,London,England
2,Birmingham,England
3,Manchester,England
4,Paris,France
5,Lille,France
6,Cardiff,Wales
7,Swansea,Wales
8,Edinburgh,Scotland
9,Aberdeen,Scotland
10,Dusseldorf,Germany
11,Berlin,Germany
12,Durban,South Africa
13,Johannesburg,South Africa
14,New York,United States
15,Los Angeles,United States
16,Chicago,United States
17,Houston,United States
18,Phoenix,United States
19,Toronto,Canada
20,Vancouver,Canada
21,Montreal,Canada
22,Sydney,Australia
23,Melbourne,Australia
24,Brisbane,Australia
25,Perth,Australia
26,Tokyo,Japan
27,Osaka,Japan
28,Kyoto,Japan
29,Rome,Italy
30,Milan,Italy
31,Venice,Italy
32,Florence,Italy
33,Madrid,Spain
34,Barcelona,Spain
35,Valencia,Spain
36,Seville,Spain
37,Lisbon,Portugal
38,Porto,Portugal
39,Amsterdam,Netherlands
40,Rotterdam,Netherlands
41,Brussels,Belgium
42,Vienna,Austria
43,Zurich,Switzerland
44,Geneva,Switzerland
45,Stockholm,Sweden
46,Copenhagen,Denmark
47,Oslo,Norway
48,Helsinki,Finland
49,Dublin,Ireland
50,Athens,Greece
51,Istanbul,Turkey
52,Moscow,Russia
53,St Petersburg,Russia
54,Warsaw,Poland
55,Prague,Czech Republic
56,Budapest,Hungary
57,Bucharest,Romania
58,Sofia,Bulgaria
59,Belgrade,Serbia
60,Zagreb,Croatia
61,Reykjavik,Iceland
62,Luxembourg,Luxembourg
63,Bangkok,Thailand
64,Singapore,Singapore
65,Kuala Lumpur,Malaysia
66,Manila,Philippines
67,Jakarta,Indonesia
68,Ho Chi Minh City,Vietnam
69,Hanoi,Vietnam
70,Mumbai,India
71,Delhi,India
72,Bangalore,India
73,Kolkata,India
74,Chennai,India
75,Dubai,United Arab Emirates
76,Abu Dhabi,United Arab Emirates
77,Riyadh,Saudi Arabia
78,Tel Aviv,Israel
79,Jerusalem,Israel
80,Cairo,Egypt
81,Casablanca,Morocco
82,Lagos,Nigeria
83,Nairobi,Kenya
84,Accra,Ghana
85,Addis Ababa,Ethiopia
86,Mexico City,Mexico
87,Guadalajara,Mexico
88,Buenos Aires,Argentina
89,Sao Paulo,Brazil
90,Rio de Janeiro,Brazil
91,Brasilia,Brazil
92,Santiago,Chile
93,Lima,Peru
94,Bogota,Colombia
95,Caracas,Venezuela
96,Quito,Ecuador
97,La Paz,Bolivia
98,Montevideo,Uruguay
99,Auckland,New Zealand
100,Wellington,New Zealand
101,Christchurch,New Zealand
102,Seoul,South Korea
103,Busan,South Korea
104,Beijing,China
105,Shanghai,China
106,Hong Kong,China
107,Taipei,Taiwan
108,Hanoi,Vietnam
109,Phnom Penh,Cambodia
